time,open,high,low,close
1646145000,47.38,47.38,37.44,38.8
1646231400,41.98,53.69,41.98,51.27
1646317800,54.43,54.43,44.03,47.05
1646404200,39.78,39.78,35.68,39.48
1646663400,37.71,37.71,31.23,31.25
1646749800,31.58,36.44,30.74,31.5
1646836200,39.23,44.75,39.23,43.21
1646922600,38.04,42.28,35.48,42.26
1647009000,46.27,46.27,36.65,36.65
1647264600,37.04,38.5,29.06,30.45
1647351000,31.17,35.73,30.19,34.67
1647437400,44.03,54.18,39.23,54.17
1647523800,53.57,67.45,53.57,67.41
1647610200,65.67,73.13,65.67,73.04
1647869400,76.49,76.49,67.95,69.51
1647955800,75.37,78.59,74.39,77.57
1648042200,73.31,73.31,63.4,63.41
1648128600,66,69.34,64.02,69.32
1648215000,70.4,71.26,67.07,70.45
1648474200,69.05,69.05,62.14,68.79
1648560600,77.77,81.54,75.76,80.77
1648647000,80.93,81.4,70.67,71.16
1648733400,71.98,72.86,64.48,64.49
1648819800,67.91,67.91,63.09,66.88
1649079000,66.8,68.04,65.04,68.01
1649165400,68.16,68.16,53.66,53.67
1649251800,45.14,47.57,41.54,45.33
1649338200,44.16,44.16,36.25,42.08
1649424600,40.07,43.06,38.19,39.06
1649683800,34.26,36.65,31.56,32.21
1649770200,33.81,38.91,30.45,31.45
1649856600,32.28,39.8,32.28,39.12
1649943000,40.04,40.04,35.86,36.23
1650288600,34.32,35.37,32.2,33.11
1650375000,33.62,44.42,33.62,43.21
1650461400,47.96,52.15,47.96,49.17
1650547800,55.33,55.33,36.57,37.14
1650634200,31.87,32.09,22.39,22.41
1650893400,15.79,23.54,13.7,23.45
1650979800,19.82,20.03,14.6,14.7
1651066200,14.37,18.68,14.37,15.95
1651152600,18.38,25.26,14.51,24.34
1651239000,23.33,26.03,15.91,16.17
1651498200,14.54,19.99,13.94,19.95
1651584600,20.6,27.08,20.6,25.59
1651671000,26.88,41.54,24.08,41.54
1651757400,33.15,33.15,21.17,24.79
1651843800,17.1,22.7,17.1,21.18
1652103000,14.27,15.97,11.47,12.02
1652189400,14.83,14.83,7.95,10.66
1652275800,13.62,15.05,8.59,8.59
1652362200,8.48,11.01,7.77,11.01
1652448600,15.17,21.69,15.17,19.97
1652707800,20.16,24.89,20.16,21.93
1652794200,34.46,38.75,31.34,38.75
1652880600,36.41,37.49,23.67,24.95
1652967000,25.13,32.73,25.13,28.25
1653053400,33.8,33.8,21.45,29.29
1653312600,37.17,40.63,33.97,38.37
1653399000,34.12,34.12,25.9,33.49
1653485400,34.28,46.7,34.28,42.6
1653571800,56.84,62.01,56.84,58.67
1653658200,68.24,74.08,68.24,73.99
1654003800,70.62,73.89,69.75,71.11
1654090200,77.78,77.78,61.5,67.59
1654176600,72.68,80.77,72.68,80.74
1654263000,79.82,79.82,75.57,77.17
1654522200,82.57,82.57,76.02,77
1654608600,72.08,81.17,72.08,80.54
1654695000,76.23,79.03,71.53,73.05
1654781400,66.09,66.33,52.71,52.74
1654867800,32.37,36.21,30.35,32.71
1655127000,15.36,16.82,13.6,14.94
1655213400,13.1,15.62,13.1,14.82
1655299800,15.06,22.69,15.06,18.99
1655386200,10.12,11.95,9.85,11.53
1655472600,11.2,15.48,11.2,15.44
1655818200,22.8,22.8,21.21,21.21
1655904600,16.81,24.02,16.81,22.61
1655991000,23.07,29.61,22.4,29.5
1656077400,32.67,40.32,32.67,40.32
1656336600,41.62,43.71,38.22,41.54
1656423000,50.99,50.99,31.93,31.94
1656509400,28.42,30.48,27.13,30.47
1656595800,23.39,32.27,22.09,30.54
1656682200,30.2,39.71,30.19,39.71
1657027800,31.05,44.89,29.15,44.89
1657114200,49.37,49.37,40,43.59
1657200600,51.86,56.94,51.86,56.11
1657287000,54.07,61.88,53.73,57.9
1657546200,56.58,56.58,49.23,49.91
1657632600,54.04,57.13,47.52,50.19
1657719000,42.02,49.34,42.02,47.27
1657805400,34.21,39.91,32.09,39.86
1657891800,42.12,55.64,42.12,55.63
1658151000,63.62,65.36,52.23,52.52
1658237400,62.99,73.71,62.99,73.59
1658323800,75.23,78.91,74.78,77.18
1658410200,74.62,77.09,71.3,77.09
1658496600,77.5,77.5,67.17,69.56
1658755800,70,73.8,70,72.74
1658842200,67.6,68.12,65.39,66.25
1658928600,70.13,77.16,68.48,76.35
1659015000,78.44,78.44,70.59,77.08
1659101400,76.21,76.92,74.82,76.4
1659360600,73.16,77.31,73.16,75.8
1659447000,74.72,78.39,74.72,75.18
1659533400,78.48,79.6,77.53,78.36
1659619800,78.7,78.7,76.53,76.71
1659706200,71.4,77.08,71.4,77.03
1659965400,80.08,81.99,78.16,79.31
1660051800,77.42,77.42,70.74,71.27
1660138200,77.76,79.88,77.76,79.82
1660224600,82.76,84.01,79.63,79.95
1660311000,80.05,83.51,80.05,83.5
1660570200,80.11,82.27,79.69,81.75
1660656600,81.35,81.49,78.6,79.61
1660743000,75.98,75.98,70.7,71.74
1660829400,71.91,74.14,70.93,73.89
1660915800,67.68,67.68,59.5,60.14
1661175000,46.66,46.66,40.81,41.68
1661261400,44.39,45.79,40.25,40.26
1661347800,39.03,45.41,39.03,41.87
1661434200,45.29,53.34,45.29,53.34
1661520600,47.61,47.61,29.65,29.68
1661779800,23.7,28.09,23.7,25.82
1661866200,24.93,24.93,18.33,18.95
1661952600,16.44,19.11,16.44,17.49
1662039000,12.06,14.18,11.33,14.18
1662125400,14.27,17.95,13.45,14.04
1662471000,14.42,14.42,11.98,12.34
1662557400,9.64,17.98,9.64,17.78
1662643800,18.21,24.12,18.21,24.12
1662730200,32.59,37.84,32.59,36.96
1662989400,46.33,49.43,45.71,49.09
1663075800,34.81,34.81,24.07,24.25
1663162200,26.96,31.36,25.77,29.28
1663248600,33.38,35.05,26.35,27.96
1663335000,20.65,22.87,17.21,22.87
1663594200,19.75,27.23,19.75,27.22
1663680600,22.23,23.16,19.17,21.72
1663767000,22.95,26.74,17.22,17.38
1663853400,16.11,16.11,11,12.22
1663939800,6.66,7.33,5.77,7.31
1664199000,7.48,9.25,6.33,6.5
1664285400,7.84,9.5,6.47,7.21
1664371800,6.87,17.06,6.87,15.17
1664458200,9.65,10.98,8.29,10.55
1664544600,9.61,17.71,9.61,10.5
1664803800,14.86,22.5,14.86,21.05
1664890200,40.69,47.7,40.69,47.7
1664976600,40.85,47.07,35.21,44.78
1665063000,47.52,49.17,41.38,42.89
1665149400,37.55,37.55,25.96,27.11
1665408600,29.68,30.56,25.39,27.81
1665495000,26.07,35.89,23.36,28.97
1665581400,26.53,32.13,26.34,29.05
1665667800,18.07,48,18.07,46.25
1665754200,51.16,51.16,34.9,34.9
1666013400,50.31,57.7,50.31,55.77
1666099800,70.47,70.47,61.48,64.14
1666186200,61.49,61.49,49.96,53.02
1666272600,54.93,60.36,45.97,48.21
1666359000,47.76,59.61,47.76,59.61
1666618200,59.32,60.82,55.33,60
1666704600,70.51,75.04,70.51,74.62
1666791000,76.59,81.78,75.01,75.01
1666877400,76.15,78.85,72.67,72.84
1666963800,73.16,77.61,70.73,77.61
1667223000,76.68,78.2,75.76,75.76
1667309400,83.66,83.66,78.04,78.1
1667395800,76.3,78.97,63.55,63.55
1667482200,55.95,62.7,54.4,60.25
1667568600,67.17,67.35,60.39,65.73
1667831400,68.05,68.05,63.81,66.49
1667917800,67.21,70.55,62.82,66.47
1668004200,61.13,61.64,52.96,53.03
1668090600,69.74,74.72,69.74,74.67
1668177000,76.57,78.18,75.74,77.01
1668436200,75.8,77.05,72.06,72.06
1668522600,78.09,78.33,75.12,75.17
1668609000,72.71,72.71,67.67,68.28
1668695400,58.34,63.41,58.15,63.41
1668781800,66.78,66.78,62.17,64.24
1669041000,60.1,60.98,57.33,60.17
1669127400,62.18,65.71,61.22,65.57
1669213800,64.73,67.25,63.64,66.74
1669386600,65.32,68.52,65.32,67.2
1669645800,63.93,63.93,51.99,53.18
1669732200,53.76,58.6,53.76,54.8
1669818600,57.05,71.44,49.76,71.44
1669905000,74.11,74.11,68.64,69.7
1669991400,60.84,70.84,60.84,70.11
1670250600,63.9,63.9,49.09,49.81
1670337000,47.43,47.43,36.1,39.83
1670423400,37.34,41.65,36.61,36.72
1670509800,36.18,43.61,36.18,39.52
1670596200,36.53,40.19,33.67,33.68
1670855400,33.92,41.74,33.48,41.74
1670941800,64.99,64.99,44.92,47.63
1671028200,48.83,52.83,42.99,44.25
1671114600,33.68,33.68,27.37,27.82
1671201000,22.13,24.58,20.01,24.34
1671460200,22.19,22.19,16.74,17.57
1671546600,16.83,22.78,16.77,21.64
1671633000,24.73,33.38,24.73,31.5
1671719400,26.13,26.13,18.99,25.31
1671805800,23.54,30.59,23.54,30.59
1672151400,30.03,32.2,28.46,30.21
1672237800,31.2,31.2,21.92,21.95
1672324200,24.86,39.07,24.86,38.93
1672410600,35.35,38.98,32.63,38.32
1672756200,49.92,49.92,34.78,40.96
1672842600,52.53,58.45,48.81,54.52
1672929000,47.68,51,46.18,48.06
1673015400,56.79,67.02,52.53,66.67
1673274600,71.99,75.15,68.02,68.04
1673361000,69.59,74.64,68.4,74.64
1673447400,78.37,81.63,78.37,81.61
1673533800,83.65,85.94,83.54,85.94
1673620200,84.66,87.58,84.66,87.58
1673965800,87.58,88.11,85.7,85.7
1674052200,86.54,86.61,75.44,75.51
1674138600,70.12,72.44,67.48,70.33
1674225000,70.3,77.18,70.3,77.18
1674484200,77.97,81.53,77.97,79.75
1674570600,77.64,79.55,77.53,78.17
1674657000,72.54,78.06,71.13,78.05
1674743400,78.13,79.06,76.07,79.05
1674829800,77.24,79.2,75.65,77.5
1675089000,73.61,77.03,68.88,68.89
1675175400,70.69,78.68,70.69,78.68
1675261800,78.23,82.32,73.51,80.25
1675348200,82.7,82.7,78.46,80.36
1675434600,78.42,78.94,75.3,75.3
1675693800,72.49,72.49,68.17,69.11
1675780200,65.53,71.32,62.18,70.85
1675866600,67.17,67.76,60.04,60.09
1675953000,64.93,64.93,47.62,48.49
1676039400,43.12,47.83,43.12,47.59
1676298600,46.14,56.63,46.14,56.39
1676385000,52.83,59.66,46.08,53.86
1676471400,46.64,58.9,45.62,58.9
1676557800,46.25,55.87,46.25,48.37
1676644200,41.09,48.38,41.09,48.33
1676989800,39.65,39.65,28.06,28.08
1677076200,28.98,31.83,27.48,28.66
1677162600,32.8,34.79,26.82,32.72
1677249000,23.18,27.09,22.85,27.04
1677508200,30.32,34.38,27.46,28.04
1677594600,27.84,32.19,27.84,28.34
1677681000,30.83,30.83,27.14,29.34
1677767400,25.55,33.86,25.55,33.81
1677853800,36.68,44.62,35.25,43.66
1678113000,45.29,45.29,36.03,37.11
1678199400,37.37,37.37,29.55,30.1
1678285800,32.21,33.39,28.71,32.49
1678372200,33.94,34.51,20.79,20.79
1678458600,17.83,18.4,11.16,11.99
1678714200,12.47,14.21,12.19,12.24
1678800600,17.12,21.39,17.11,19.11
1678887000,13.83,15.79,12.49,15.79
1678973400,14.72,22.03,14.72,21.82
1679059800,21.18,21.18,16.78,17.34
1679319000,19.38,21.13,18.53,20.41
1679405400,26.58,27.02,24.32,26.35
1679491800,25.82,28.66,18.54,18.59
1679578200,24.33,27.91,19.07,20.45
1679664600,18.45,24.12,17.87,24.11
1679923800,29.51,31.2,26.42,29.21
1680010200,29.35,32.92,29.35,31.54
1680096600,39.68,43.32,38.89,43.31
1680183000,53.3,54.21,46.13,48.5
1680269400,58.34,64.49,58.34,64.46
1680528600,68.54,69.69,61.67,66.25
1680615000,66.25,66.25,54.41,56.72
1680701400,55.66,55.66,47.4,50.63
1680787800,51.65,54.37,50.23,53.26
1681133400,51.44,60.46,51.44,60.46
1681219800,65.44,68.31,63.93,65.72
1681306200,68.67,68.81,59.28,59.28
1681392600,68.67,68.81,59.28,66.8
1681479000,69.73,72.05,58.73,61.34
1681738200,62.11,66.95,61.97,66.89
1681824600,67.43,67.43,60.09,62.17
1681911000,57.8,63.56,57.2,61.85
1681997400,56.05,58.35,51.47,53.57
1682083800,52.16,52.16,47.6,51.08
1682343000,49,51.87,46.19,48.46
1682429400,41.72,41.72,31.81,31.86
1682515800,29.64,31.39,25.6,26.02
1682602200,29.75,36.27,27.82,36.22
1682688600,36.1,44.78,36.1,44.13
1682947800,45.32,49.56,43.62,44.56
1683034200,31.07,33.69,27.28,33.06
1683120600,39.11,42.21,34.25,34.25
1683207000,33.55,33.55,28.59,31.52
1683293400,38.89,43.61,38.89,43.4
1683552600,45.16,45.16,42.11,43.59
1683639000,39.94,43.84,38.8,42.76
1683725400,49.14,49.14,40.87,44.81
1683811800,41.74,41.78,39.64,41.35
1683898200,44.33,44.46,37.13,40.24
1684157400,42.63,48.81,41.98,46.87
1684243800,43.92,43.92,38.05,38.06
1684330200,41.63,51.75,40.16,51.75
1684416600,50.02,54.8,48.79,54.08
1684503000,60.62,60.62,51.59,52.35
1684762200,56.33,61.2,55.74,58.91
1684848600,58.47,63.47,56.1,56.11
1684935000,52.18,52.18,45.44,47.23
1685021400,45.62,45.62,38.99,41.63
1685107800,43.94,47.91,43.59,47.34
1685453400,49.72,49.72,44.2,45.73
1685539800,43.17,43.17,35.12,39.22
1685626200,38.14,48.53,37.38,46.6
1685712600,56.85,67.67,56.85,67.65
1685971800,66.26,66.37,61.4,62.92
1686058200,62.51,73.38,62.51,73.1
1686144600,77.97,78.1,76.68,77.56
1686231000,78.6,78.6,74.81,75.94
1686317400,76.34,76.43,71.85,71.89
1686576600,71.68,74.49,71.68,73.43
1686663000,78.65,79.6,76.76,76.76
1686749400,78.95,78.95,70.92,71.77
1686835800,73.32,76.05,71.49,75.76
1686922200,78.37,78.37,71.66,72.82
1687267800,68.89,68.89,64.23,66.78
1687354200,63.55,67.11,61.6,63.12
1687440600,58.43,58.43,53.76,55.35
1687527000,44.85,49.13,42.74,44.56
1687786200,42.98,48.98,42.98,44.46
1687872600,45.07,53.16,45.07,51.15
1687959000,46.99,49.74,46.65,49.65
1688045400,48.75,56.14,48.75,56.11
1688131800,61.09,61.09,57.23,58.08
1688391000,61.41,63.37,61.36,63.34
1688563800,55.58,56.15,52.49,52.49
1688650200,41.6,41.6,32.58,39.91
1688736600,44.46,53.15,44.46,48.91
1688995800,49.98,58.66,49.98,57.26
1689082200,62.2,64.78,59.27,64.45
1689168600,74.7,74.7,70.26,70.29
1689255000,74.34,76.08,74.34,75.14
1689341400,74.01,74.01,67.63,68.22
1689600600,68.36,74.31,68.36,72.52
1689687000,77.7,77.98,73.9,75.91
1689773400,79.21,79.96,76.01,76.84
1689859800,76.22,76.22,72.83,73.18
1689946200,76.33,76.33,71.06,71.07
1690205400,73.5,73.5,69,69.62
1690291800,69.03,69.8,67.5,67.5
