time,open,high,low,close,EMA,EMA
1697031000,38.82,38.82,35.81,36.75,42.178414442615484,35.72198218772379
1697117400,35.65,35.65,32.82,33.43,41.83533936643448,35.30525815359219
1697203800,34.47,34.47,32.1,32.71,41.477482920691955,34.83339303475725
1697463000,33.63,34.95,33.63,34.51,41.204248296351096,34.774594301165024
1697549400,35.47,37.21,35.47,35.84,40.99388561806282,34.96830442822593
1697635800,34.29,34.38,32.13,32.27,40.65177245657016,34.477703623093944
1697722200,32.54,32.64,29.88,29.98,40.23327157592035,33.65993932798595
1697808600,29.86,29.86,27.79,27.89,39.74922171019798,32.610859450170324
1698067800,26.84,28.33,26.6,26.61,39.23395811371962,31.5197940955939
1698154200,28.32,28.82,26.85,27.93,38.7906656386718,30.867104260031375
1698240600,26.67,27.24,25.19,25.19,38.25730620186114,29.834903485480215
1698327000,25.89,26.57,25.26,25.76,37.76721576257247,29.09401194266563
1698413400,25.63,25.63,23.5,23.8,37.21948181109904,28.131464316726426
1698672600,25.89,25.89,24.44,25.45,36.75793350478143,27.643925350048892
1698759000,26.09,27.12,26.05,27.1,36.37919101439784,27.545029831858184
1698845400,27.09,28.5,26.83,28.03,36.05177175893126,27.633206226065788
1698931800,31.28,32.67,31.04,32.65,35.91836894485552,28.54535054859928
1699018200,37.76,38.05,36.75,37.24,35.97019761368472,30.126195903399413
1699281000,36.8,36.8,35.08,35.23,35.94117025628532,31.05416028459952
1699367400,34.35,35.47,34.35,34.92,35.90112436388197,31.757040232854152
1699453800,35.64,35.71,33.17,33.65,35.812844977063065,32.10121473597158
1699540200,34.67,34.67,31.43,31.63,35.64881184070765,32.01553932943129
1699626600,32.94,33.88,31.7,33.73,35.57356431754265,32.32725945135287
1699885800,33.34,34.66,32.82,34.47,35.53028728548215,32.71684864201599
1699972200,39.86,42.98,39.86,42.96,35.82164856840442,34.579239798013084
1700058600,44.85,46.33,43.89,43.89,36.138054506898364,36.27210528928343
1700145000,43.84,43.84,40.64,41.19,36.33617001643176,37.16626796395917
1700231400,43.8,43.86,43.12,43.6,36.62102609421875,38.336037425057505
1700490600,45.04,45.34,44.43,44.83,36.94294663954351,39.51675789322887
1700577000,44.02,44.21,42.95,42.97,37.1793016732869,40.14462009445999
