time,open,high,low,close,EMA,EMA,EMA
1712064600,62.21,62.24,60.67,61.3,60.10452394271545,61.47572627591724,62.17051174340081
1712151000,61.2,62.13,61.11,61.27,60.15022888613838,61.456133297258454,62.006782335509754
1712237400,64.06,64.08,60.36,60.73,60.1729650082506,61.3869777451386,61.7746400926898
1712323800,60.83,61.42,60.42,60.53,60.186966380476065,61.30536081703016,61.548341894018925
1712583000,61.77,62.38,61.56,61.56,60.24081083614367,61.32961216778919,61.55046154965185
1712669400,63.65,63.65,62.13,63.06,60.35136727394196,61.49441100895213,61.82492308607878
1712755800,59.23,59.62,57.06,57.71,60.2477842435913,61.13399091286145,61.07675525224628
1712842200,58.77,58.88,57.09,58.14,60.16512603796026,60.84884892116036,60.54279975183786
1712928600,58.7,58.7,54.62,55.06,59.96492501686378,60.29752997628795,59.545927069685526
1713187800,57.11,57.11,52.58,52.98,59.691006388751475,59.600622359498615,58.35212214792452
1713274200,51.36,52.32,50.67,51.48,59.3690061382122,58.82722975383208,57.102645393756426
1713360600,53.78,53.78,50.16,50.16,59.00786864259604,58.00177930108617,55.84034623125525
1713447000,51.28,51.8,49.84,49.89,58.6503051664158,57.22922889145891,54.75846509829975
1713533400,51.59,52.3,50.99,52.18,58.396567708909295,56.74834994941521,54.28965326224525
1713792600,53.49,54.97,52.49,53.77,58.21513368110893,56.464697573280425,54.19517085092794
1713879000,57.03,57.73,56.69,56.71,58.156108830869364,56.48805970915848,54.652412514395586
1713965400,56.98,56.98,55.15,56.06,58.07390848456076,56.44729211781005,54.90833751177821
1714051800,53.62,54.78,53.52,54.35,57.92787285771524,56.24755001135195,54.8068216005458
1714138200,56.36,56.36,54.98,54.98,57.81227000054994,56.12683096265176,54.838308582264744
1714397400,57.3,57.3,55.67,55.97,57.74002411817543,56.11189468049445,55.04407065821661
1714483800,55.7,55.7,52.71,52.87,57.54904278020776,55.803142806161645,54.648785083995406
1714570200,53.86,56.5,53.4,53.72,57.39888423980746,55.60474825319387,54.479915068723514
1714656600,56.09,56.64,54.77,56.37,57.35853583824638,55.67762937193731,54.82356687441015
1714743000,60.3,60.3,57.86,58.14,57.389181491648486,55.91214086032423,55.426554715426484
1715002200,60.65,60.65,59.47,59.9,57.48764496256423,56.291936968864775,56.23990840353076
1715088600,61.23,61.26,59.88,59.88,57.58146280716956,56.63365725754432,56.90174323925244
1715175000,59.96,59.98,59.47,59.91,57.672777991202125,56.945689899682954,57.44869901393381
1715261400,61.12,61.53,60.79,61.37,57.817767089586354,57.367052766379814,58.16166282958221
1715347800,62.35,62.35,60.19,60.54,57.92452132136728,57.669238217200785,58.594087769658174
1715607000,62.53,63.26,60.97,60.99,58.04473617150974,57.98550124413404,59.02970817517487
1715693400,62.76,62.76,62.09,62.38,58.21474651772505,58.4040249351689,59.63885214332489
1715779800,64.17,64.17,63.19,63.65,58.427893713108375,58.903641608009956,60.368151753629455
1715866200,64,64.3,63.56,64.1,58.65032925377079,59.398532883437575,61.04666961660592
1715952600,64.6,64.72,64.08,64.37,58.874630067348406,59.872005942157806,61.65091150449575
1716211800,64.69,64.69,63.74,63.77,59.06660535882494,60.24324347147611,62.036200321860164
1716298200,64.16,64.16,62.43,63.15,59.22673848200827,60.52007742657363,62.238709354249224
1716384600,63.26,63.53,61.57,61.94,59.33314089447854,60.65530814785233,62.184398562567544
1716471000,61.29,61.29,57.4,57.71,59.26948831038134,60.374802609961634,61.37087155119163
1716557400,59.15,59.31,58.43,59.22,59.26754759232717,60.26482140901291,60.97980399642951
1716903000,60.63,60.63,57.86,58.36,59.23195749066728,60.08340984624978,60.50347599707869
1716989400,55.94,56.03,55.08,55.09,59.06952778515091,59.607847003749804,59.51920763397347
1717075800,56.93,57.52,56.38,56.83,58.981703166125385,59.34329014624982,59.03026079143284
1717162200,59.28,59.28,57.58,58.82,58.975361865493014,59.29345298946412,58.99203155662687
1717421400,59.53,59.53,57.16,58.11,58.94142610606192,59.18074318094373,58.831662182694714
1717507800,57.85,57.85,56.01,56.01,58.82646821954969,58.87876763990147,58.31863269493204
1717594200,56.9,57.62,56.7,57.62,58.77915574035166,58.7588850075299,58.19160856858076
1717680600,58.2,58.2,56.56,57.07,58.712130025043756,58.598038816336576,57.98767973792972
1717767000,55.51,56.46,54.3,54.67,58.553615122100865,58.22393988144738,57.384465240124314
1718026200,53.63,54.66,53.62,54.48,58.39386550946946,57.86737417845239,56.8563806510108
1718112600,53.28,53.84,52.72,53.45,58.199988430666735,57.44667187574264,56.23703871446338
1718199000,58.73,58.82,56.09,56.24,58.12312613926804,57.33175074471953,56.237577130015495
1718285400,55.74,55.74,52.92,54.03,57.96261138870851,57.01729829284148,55.83619947001268
1718371800,50.75,51.15,50.42,51.15,57.695450157778765,56.45850797923753,54.98416320273765
1718631000,51.15,52.07,50.06,52.06,57.47445211237568,56.03960245740539,54.45249716587626
1718717400,53.18,53.18,51.31,51.31,57.23270889228252,55.58916412812869,53.88113404480785
1718890200,51.44,51.55,50.51,50.79,56.98005364160477,55.132100877830716,53.319109673024606
1718976600,51.09,51.27,50.24,51.26,56.75573781252223,54.76332936565636,52.94472609611104
1719235800,52.38,53.63,52.21,52.28,56.580218682619396,54.52682180702242,52.823866805909034
1719322200,51.94,51.94,50.59,50.65,56.347661087222555,54.15760068254409,52.42861829574375
1719408600,50.36,51.03,49.71,50.96,56.13638026027265,53.85306728420656,52.16159678742671
1719495000,52.25,52.75,51.49,52.75,56.00358103437961,53.74801325713927,52.26857918971276
1719581400,54.69,54.69,52.83,54.28,55.93598962126668,53.798678661221246,52.63429206431044
1719840600,55.37,55.37,51.9,51.96,55.780068459648376,53.623566407771605,52.51169350716309
1719927000,52.41,52.86,51.87,52.51,55.65183048083863,53.51751246417431,52.5113855967698
1720013400,53.73,54.73,52.23,52.39,55.52391556002143,53.41013032472914,52.4893154882662
1720186200,51.73,51.76,50.87,51.3,55.358271812569605,53.20916553189779,52.27307630858144
1720445400,52.87,53.33,51.74,52,55.22657487874334,53.094006909812286,52.22342607065754
1720531800,51.97,52.79,50.91,51.79,55.091807236439685,52.96981577554445,52.14462133053799
1720618200,52.86,54.19,52.28,54.18,55.05605008991264,53.085071415968784,52.51469017953108
1720704600,57.64,59.98,57.64,59.88,55.245224596190575,53.732207471590804,53.85383741961634
1720791000,62.56,63.36,61.93,61.96,55.50854912183016,54.515806760010726,55.32768516150428
1721050200,62.98,64.59,62.98,63.53,55.82311582293486,55.37430135429542,56.81901513213986
1721136600,66.22,68.74,66.22,68.7,56.32809167301585,56.64341551102919,58.979194199023524
1721223000,69.43,69.43,67.52,67.81,56.77836258779954,57.70689974807403,60.58479525374652
1721309400,69.03,69.47,64.84,64.97,57.09960327063093,58.39862358159079,61.38210520761079
1721395800,64.86,64.86,62.93,62.96,57.32942275021403,58.83304038334405,61.66899516986337
1721655000,64.39,65.26,62.81,65.21,57.63846499530367,59.440369870644616,62.31281422988821
1721741400,65.11,65.84,65.01,65.45,57.944799701370194,60.012715597249894,62.88321164263581
1721827800,64.63,65.38,62.5,62.51,58.12382716406156,60.25055220703562,62.815354980338384
1721914200,63.8,65.99,63.8,64.34,58.367598647823854,60.640023425413176,63.092563165731406
1722000600,66.95,66.98,65.63,66.39,58.682202622419,61.187640242040494,63.692097135598424
1722259800,66.98,67.15,64.92,65.66,58.95584173526531,61.61357926660806,64.04989765639871
1722346200,66.52,66.52,65.26,65.73,59.22149500054902,62.00561933645491,64.35537080978077
1722432600,66.7,68.37,66.32,66.71,59.51516186327259,62.45365559012588,64.78348520800245
1722519000,66.5,66.5,60.85,61.89,59.608292770595234,62.39997410535199,64.25739698836564
1722605400,55.04,56.88,54.9,55.78,59.4581636423366,61.76950038103275,62.71605208139007
1722864600,44.81,49.63,44.81,47.91,59.00529447989203,60.44954796379154,60.024042612046415
1722951000,49.29,52.29,48.88,50.09,58.655675088523715,59.462924348192345,58.217853046219794
1723037400,52.24,52.45,48.1,48.1,58.24172704583651,58.380741076935934,56.37824340145256
1723123800,51.14,53,51.14,53,58.036169122470376,57.86828954579918,55.764017328461186
1723210200,52.27,52.27,51.15,52.08,57.802593862765654,57.31702387477068,55.094195996013696
1723469400,51.98,51.98,50.39,50.41,57.51268822108857,56.65921207717348,54.24252399673848
1723555800,51.69,53.81,51.22,53.63,57.36042593790862,56.37071568887124,54.13115599733148
1723642200,54.14,54.14,52.65,53.45,57.207075901127894,56.09255228993113,54.00730945236212
1723728600,57.34,57.83,56.56,56.98,57.19817096382876,56.177071119461495,54.547798642841734
1723815000,57.29,57.66,56.93,57.41,57.206477984855084,56.29449291760802,55.06819888959778
1724074200,58.56,59.13,58.28,59.13,57.28191022074312,56.56454121116916,55.80670818239818
1724160600,58.68,58.68,57.01,57.34,57.28418825130221,56.638394429153045,56.085488512871244
1724247000,58.28,59.41,58.05,59.29,57.36284753556487,56.89092829304323,56.668126965076475
1724333400,59.88,59.88,57.52,57.54,57.369794691032915,56.952744646086735,56.82664933506257
1724419800,59.21,61.81,59.21,61.78,57.54274391883555,57.41248325122133,57.72725854686937
1724679000,62.6,63.08,62.13,62.15,57.72342062790082,57.86367532253359,58.531393356529485
1724765400,61.45,61.55,60.68,61.15,57.85779628955177,58.176658625149436,59.007503655342305
1724851800,60.75,60.79,59.2,59.83,57.93513761153013,58.334119708468535,59.15704844528007
1724938200,60.77,62.24,60.77,60.98,58.05454397970542,58.58610830766201,59.488494182501874
1725024600,61.93,61.93,60.23,61.69,58.19711088246207,58.88171704026563,59.888767967501536
1725370200,59.41,59.41,56.61,56.77,58.1411457498165,58.6806011316689,59.32171924613762
1725456600,56.49,58.24,56.4,56.7,58.08463023021586,58.49197245246234,58.84504301956714
1725543000,56.26,56.76,55.39,55.92,57.99974277020739,58.24702269508498,58.31321701600948
1725629400,54.26,54.26,52.15,52.39,57.77975285765024,57.68921100983879,57.23626846764412
1725888600,53.52,54.84,53.05,53.33,57.605252745585524,57.27404805652081,56.52603783716337
1725975000,52.68,52.81,51.09,52.77,57.41563499085668,56.845091098756924,55.84312186677003
1726061400,51.8,53.22,49.7,53.17,57.249139501019165,56.49508242268484,55.35709970917548
1726147800,53.87,54.67,52.67,54.66,57.147604618626254,56.32031266814342,55.23035430750721
1726234200,56.99,57.99,56.99,57.86,57.175541692405616,56.46694955689167,55.70847170614226
1726493400,58.81,58.81,57.58,58.32,57.220422410350494,56.643430551473415,56.18329503229821
1726579800,59.81,60.5,59.19,59.35,57.30393525700342,56.901199070380706,56.75905957188036
1726666200,60.14,61.74,58.76,58.76,57.361035835160145,57.078227730344445,57.122866922447564
1726752600,61.31,61.98,61.14,61.52,57.52413246907543,57.50125366078783,57.922345663820735
1726839000,61.22,61.22,59.59,60.22,57.62985276440581,57.76018188356994,58.34010099767151
1727098200,60.82,60.82,59.3,59.51,57.70358402854676,57.926831227991855,58.55280990718578
1727184600,60.29,60.36,59.71,60.07,57.79638465487826,58.13094253961168,58.82866265133382
1727271000,59.63,59.63,57.98,58.13,57.809467609588914,58.13085277393438,58.70163307836404
1727357400,60.51,60.51,59.65,60,57.89537084058543,58.30886679546444,58.93769979138876
