time,open,high,low,close,EMA,EMA,Plot,Plot,Plot,Shapes,Shapes
1702305000,459.69,462.17,459.47,461.99,452.77852773785503,457.2867345037258,78,,,1,0
1702391400,461.63,464.2,460.6,464.1,453.85676319139264,458.52551004850295,72,,,1,0
1702477800,464.49,470.7599,464.12,470.5,455.44183336364097,460.7026900396842,136,,,1,0
1702564200,472.5,473.73,469.25,472.01,457.01975399567516,462.75856457792344,212,,,1,0
1702650600,469.49,470.7,467.4263,469.33,458.19215837703945,463.95337101830097,120,,,1,0
1702909800,470.98,472.98,469.8929,471.97,459.5043337697024,465.41093992406445,86,,,1,0
1702996200,472.53,474.92,472.45,474.84,460.9648734106831,467.12531448332544,146,,,1,0
1703082600,473.96,475.895,467.82,468.26,461.65964737157043,467.3316209409026,169,,,1,0
1703169000,471.33,472.975,468.84,472.7,462.71110952665896,468.3076898607385,53,,,0,0
1703255400,473.86,475.38,471.7,473.65,463.7529086193581,469.27901897696785,147,,,1,0
1703601000,474.07,476.58,473.99,475.65,464.885964941324,470.4373791629737,190,,,1,0
1703687400,475.44,476.66,474.89,476.51,465.99301589929314,471.541492042433,199,,,1,0
1703773800,476.88,477.55,476.26,476.69,467.01177628983663,472.4775843983543,124,,,1,0
1703860200,476.49,477.03,473.3,475.31,467.8020833098522,472.99256905319896,61,,,0,0
1704205800,472.16,473.67,470.49,472.65,468.2637896612949,472.9302837707991,53,,,0,0
1704292200,470.43,471.19,468.17,468.79,468.31390493164776,472.1775049033811,22,,,0,0
1704378600,468.3,470.96,467.05,467.28,468.2154377953004,471.2870494664027,40,,,0,0
1704465000,467.49,470.44,466.43,467.92,468.18730086241465,470.6748586543295,17,,,0,0
1704724200,468.43,474.75,468.3,474.6,468.79803411361326,471.3885207171787,43,,,0,0
1704810600,471.87,474.93,471.35,473.88,469.28203086469773,471.84151695041896,30,,,0,0
1704897000,474.16,477.4481,473.87,476.56,469.9751707823456,472.6994229594337,28,,,0,0
1704983400,477.59,478.12,472.26,476.35,470.5822973745031,473.3631642395367,5,,,0,0
1705069800,477.84,478.6,475.23,476.68,471.1630309578838,473.96622528689363,30,,,0,0
1705415400,475.26,476.6098,473.06,474.93,471.5217899142758,474.141457052913,-3,,,0,1
1705501800,471.82,472.79,469.87,472.29,471.59495277958285,473.8048284978379,-31,,,0,1
1705588200,474.01,477.06,472.42,476.49,472.0611477529559,474.293041498231,-6,,,0,1
1705674600,477.65,482.72,476.5374,482.43,473.04865749076964,475.7724884985526,15,,,0,1
1705933800,484.01,485.22,482.78,483.45,474.0392615392678,477.16839968063397,105,,,1,0
1706020200,484.01,485.105,482.89,484.86,475.0698080593375,478.56687246597323,71,,,0,0
1706106600,487.81,488.77,484.8819,485.39,476.05268348225775,479.80744110852356,98,,,1,0
1706193000,487.575,488.305,485.39,488.03,477.1933802934713,481.3024518160647,68,,,0,0
1706279400,487.59,489.12,486.54,487.41,478.1663916940931,482.4129151222348,67,,,0,0
1706538600,487.73,491.415,487.17,491.27,479.41435438989373,484.0232941909194,91,,,1,0
1706625000,490.56,491.62,490.11,490.89,480.50727301942766,485.27178615620676,99,,,1,0
1706711400,488.62,489.0813,482.86,482.88,480.7332470175774,484.83691594598736,35,,,0,0
1706797800,484.63,489.23,483.8,489.2,481.5396044444748,485.6302039558078,17,,,0,0
1706884200,489.65,496.05,489.3,494.35,482.7596421164296,487.2156214183882,5,,,0,1
